team,position,avg,league,year
Chelsea,1,26.635742558934137,EPL,2014
Manchester City,2,32.431351042050586,EPL,2014
Arsenal,3,29.535567708835405,EPL,2014
Leicester,1,31.395451966051457,EPL,2015
Arsenal,2,28.612791439253137,EPL,2015
Chelsea,1,25.595428647162024,EPL,2016
Tottenham,2,24.79939017030449,EPL,2016
Manchester City,3,29.201195803200406,EPL,2016
Liverpool,4,33.32636521793236,EPL,2016
Arsenal,5,36.773001091491274,EPL,2016
Manchester City,1,26.68523113882732,EPL,2017
Manchester City,1,26.020156921469273,EPL,2018
Liverpool,1,32.92148468394182,EPL,2019
Manchester City,2,33.0160319216815,EPL,2019
Chelsea,4,39.14090215448533,EPL,2019
Juventus,1,22.66899310799027,Serie_A,2014
Lazio,3,29.77897343722067,Serie_A,2014
Fiorentina,4,37.459070324940654,Serie_A,2014
Napoli,5,35.934595456917506,Serie_A,2014
Juventus,1,18.484184979419936,Serie_A,2015
Napoli,2,25.882217712809968,Serie_A,2015
Roma,3,32.88609808236954,Serie_A,2015
Juventus,1,21.924139694225993,Serie_A,2016
Roma,2,32.220815024530765,Serie_A,2016
Napoli,3,31.707255828862777,Serie_A,2016
Inter,7,37.256470230106444,Serie_A,2016
Juventus,1,23.196798740924265,Serie_A,2017
Napoli,2,27.16147709545506,Serie_A,2017
Roma,3,27.820880461029066,Serie_A,2017
Inter,4,28.48271536029734,Serie_A,2017
Lazio,5,36.65594270728891,Serie_A,2017
Atalanta,7,30.57862354801655,Serie_A,2017
Juventus,1,27.22102542489558,Serie_A,2018
Napoli,2,31.150446858396506,Serie_A,2018
Atalanta,3,35.55154793343367,Serie_A,2018
Inter,4,30.39118667283914,Serie_A,2018
Roma,6,40.02749949738789,Serie_A,2018
Juventus,1,34.650158483715714,Serie_A,2019
Inter,2,31.697365765290755,Serie_A,2019
Atalanta,4,36.28998294787469,Serie_A,2019
Roma,5,40.056519181164944,Serie_A,2019
Paris Saint Germain,1,27.99734348724492,Ligue_1,2014
Paris Saint Germain,1,21.195278124022515,Ligue_1,2015
Monaco,1,27.096595009071365,Ligue_1,2016
Paris Saint Germain,2,24.18662658072522,Ligue_1,2016
Paris Saint Germain,1,26.77535306262392,Ligue_1,2017
Paris Saint Germain,1,31.11136579088637,Ligue_1,2018
Paris Saint Germain,1,22.703628708268187,Ligue_1,2019
Barcelona,1,22.233985554945352,La_liga,2014
Barcelona,1,26.807919705955616,La_liga,2015
Real Madrid,1,31.867379416609893,La_liga,2016
Barcelona,2,29.106156701543398,La_liga,2016
Barcelona,1,29.074103363054395,La_liga,2017
Real Madrid,3,35.97320355224859,La_liga,2017
Barcelona,1,33.54989075651245,La_liga,2018
Real Madrid,1,24.823261575271456,La_liga,2019
