team,position,net,league,year
Chelsea,1,29.858372412650002,EPL,2014
Manchester City,2,29.906159807067986,EPL,2014
Arsenal,3,26.059933912876485,EPL,2014
Leicester,1,22.862353620366473,EPL,2015
Arsenal,2,26.05216907464949,EPL,2015
Chelsea,1,33.24380586151066,EPL,2016
Tottenham,2,36.538164047187955,EPL,2016
Manchester City,3,33.168255613378115,EPL,2016
Liverpool,4,23.572118966588604,EPL,2016
Arsenal,5,18.82812156785301,EPL,2016
Manchester City,1,50.09527742525067,EPL,2017
Manchester City,1,47.752729203096,EPL,2018
Liverpool,1,30.115887494014217,EPL,2019
Manchester City,2,46.81538936332109,EPL,2019
Chelsea,4,18.298521997402986,EPL,2019
Juventus,1,29.36111511712897,Serie_A,2014
Lazio,3,22.59746224892443,Serie_A,2014
Fiorentina,4,10.640942895343528,Serie_A,2014
Napoli,5,17.34944543566263,Serie_A,2014
Juventus,1,36.21263234626,Serie_A,2015
Napoli,2,32.978793732502346,Serie_A,2015
Roma,3,25.297656590353768,Serie_A,2015
Juventus,1,35.81773686741183,Serie_A,2016
Roma,2,35.72985971633517,Serie_A,2016
Napoli,3,36.09829321103992,Serie_A,2016
Inter,7,18.19859909317958,Serie_A,2016
Juventus,1,35.02600093950928,Serie_A,2017
Napoli,2,31.309609386698337,Serie_A,2017
Roma,3,22.421479481085665,Serie_A,2017
Inter,4,22.293438600146615,Serie_A,2017
Lazio,5,25.569154644668835,Serie_A,2017
Atalanta,7,17.61913006920011,Serie_A,2017
Juventus,1,26.392473045958717,Serie_A,2018
Napoli,2,25.531408777078546,Serie_A,2018
Atalanta,3,24.158267600825596,Serie_A,2018
Inter,4,18.638057565439496,Serie_A,2018
Roma,6,14.296037895400985,Serie_A,2018
Juventus,1,24.456400887229826,Serie_A,2019
Inter,2,29.46312676895893,Serie_A,2019
Atalanta,4,35.73967682076692,Serie_A,2019
Roma,5,21.74740315424019,Serie_A,2019
Paris Saint Germain,1,35.100141272287615,Ligue_1,2014
Paris Saint Germain,1,52.08438550824396,Ligue_1,2015
Monaco,1,45.068160274849845,Ligue_1,2016
Paris Saint Germain,2,40.50981008995403,Ligue_1,2016
Paris Saint Germain,1,50.59248611872748,Ligue_1,2017
Paris Saint Germain,1,46.984448789391365,Ligue_1,2018
Paris Saint Germain,1,36.61205502852614,Ligue_1,2019
Barcelona,1,60.132719013866506,La_liga,2014
Barcelona,1,60.346356652316786,La_liga,2015
Real Madrid,1,45.431377702427355,La_liga,2016
Barcelona,2,52.356492330634865,La_liga,2016
Barcelona,1,45.202366702225405,La_liga,2017
Real Madrid,3,36.69593505633334,La_liga,2017
Barcelona,1,34.52720015985167,La_liga,2018
Real Madrid,1,31.397837541531675,La_liga,2019
